,Model,Injury.Severity,Number.of.Engines
75075,STARDUSTER SA300,Non-Fatal,1.0
75085,17 31,Non-Fatal,1.0
75090,TITAN 51 MUSTANG,Non-Fatal,1.0
75091,LC42 550FG,Non-Fatal,1.0
75097,GLASAIR II FT / 1865,Fatal,1.0
75101,DHC-1,Fatal,1.0
75104,O1 - A,Non-Fatal,1.0
75106,DA 20 C1,Non-Fatal,1.0
75122,SONERAI II LT,Fatal,1.0
75124,B75,Fatal,1.0
75125,PA 18A,Non-Fatal,1.0
75127,47G 3B,Non-Fatal,1.0
75133,MURPHY REBEL ELITE,Non-Fatal,1.0
75134,ZENITH CH 750,Non-Fatal,1.0
75149,AW109SP,Non-Fatal,2.0
75166,AS350 B3E,Non-Fatal,1.0
75169,SEAREY LSA,Non-Fatal,1.0
75173,PA-32RT-300T,Fatal,1.0
75174,BOWERS FLY BABY 1A,Fatal,1.0
75179,MARK V,Non-Fatal,1.0
75180,415 C,Non-Fatal,1.0
75181,M 18A,Non-Fatal,1.0
75183,HELICYCLE,Fatal,1.0
75186,C24,Fatal,1.0
75188,PA 18S-150,Non-Fatal,1.0
75191,O 1E,Non-Fatal,1.0
75192,ULTIMATE AERO 10-200,Non-Fatal,1.0
75194,GT400,Fatal,1.0
75198,CJ6 - A,Fatal,1.0
75203,8B-15,Non-Fatal,0.0
75205,AERONCA 7AC,Non-Fatal,1.0
75208,HS 125 700A,Fatal,2.0
75209,PA30 - NO SERIES,Non-Fatal,2.0
75212,AA 1,Non-Fatal,1.0
75215,AT 502B,Fatal,1.0
75218,PA 18A 150,Non-Fatal,1.0
75226,PA 34-200,Non-Fatal,2.0
75238,17 30A,Fatal,1.0
75242,K 7,Non-Fatal,0.0
75244,PA 32R-300,Fatal,1.0
75248,OH 6,Non-Fatal,1.0
75251,1002,Non-Fatal,1.0
75257,SLING,Non-Fatal,1.0
75258,PULSAR XP SERIES I,Non-Fatal,1.0
75262,AW119 MKII,Non-Fatal,2.0
75276,BK 117,Non-Fatal,2.0
75284,PA28 - 181,Non-Fatal,1.0
75286,KINSLER LANCAIR/MKII,Non-Fatal,1.0
75288,150 - F,Fatal,1.0
75294,750XL,Non-Fatal,1.0
75295,STOLP STRDSTR SA300,Non-Fatal,1.0
75296,525C,Non-Fatal,2.0
75302,G,Fatal,1.0
75303,T207A,Fatal,1.0
75307,PL 4,Non-Fatal,1.0
75309,AL-3,Non-Fatal,2.0
75316,MD90 - 30,Non-Fatal,2.0
75341,SNJ 6,Non-Fatal,1.0
75345,172 - R,Non-Fatal,1.0
75347,206 L4,Non-Fatal,1.0
75350,S 2R,Non-Fatal,1.0
75358,HARMON ROCKET,Non-Fatal,1.0
75360,J3C - 65,Non-Fatal,1.0
75362,QUIKR,Non-Fatal,1.0
75364,M 62C(PT-23A),Non-Fatal,1.0
75366,UH 1H,Non-Fatal,1.0
75369,AA1B,Fatal,1.0
75374,SEAREY LSX,Fatal,1.0
75379,182J,Non-Fatal,2.0
75387,AS 365 N2 DAUPHIN,Non-Fatal,2.0
75390,SA-300,Fatal,1.0
75392,PA 18-105 SPECIAL,Non-Fatal,1.0
75393,OTW 160,Non-Fatal,1.0
75404,PA28R - 201T,Non-Fatal,1.0
75407,EMB 135KL,Non-Fatal,2.0
75410,OH 13H/M74A,Fatal,1.0
75413,BUCCANEER SX,Non-Fatal,1.0
75415,OH 58A+,Non-Fatal,1.0
75418,BRISTELL S-LSA,Non-Fatal,1.0
75425,VANS RV-10,Fatal,1.0
75426,FBA 2C2,Non-Fatal,1.0
75428,VANS RV6,Non-Fatal,1.0
75431,PITTS S 2B,Non-Fatal,1.0
75432,G IV,Fatal,2.0
75435,YAK-55M,Fatal,1.0
75439,DHC 6 200,Fatal,2.0
75442,CALLAIR A 9B,Non-Fatal,1.0
75447,SA 226AT,Non-Fatal,2.0
75449,BD 4,Fatal,1.0
75453,AT 6C,Fatal,1.0
75460,PA 32-260,Non-Fatal,1.0
75467,NIMBUS 3/24.5,Non-Fatal,0.0
75473,Apache Sport,Fatal,1.0
75475,J3C,Fatal,1.0
75483,SUPER GLASAIR TT,Non-Fatal,1.0
75489,P 70,Fatal,1.0
75494,XL-2,Fatal,1.0
75500,206 L4,Fatal,1.0
75508,2/3 P 51B/C MUSTANG,Fatal,1.0
75509,AURIGA,Fatal,1.0
75511,AT 502B,Non-Fatal,1.0
75520,CLIPPER,Non-Fatal,1.0
75521,AA 5B,Fatal,1.0
75526,SP 2H,Non-Fatal,2.0
75533,MOYES DRAGONFLY,Non-Fatal,1.0
75536,GOAT,Non-Fatal,1.0
75537,G 21A,Fatal,2.0
75538,LC41 550FG,Fatal,1.0
75544,AS 350 BA FX1,Non-Fatal,1.0
75547,1124A,Fatal,2.0
75548,PA 46-310P,Fatal,1.0
75558,U206E,Fatal,1.0
75560,GULFSTREAM AM G 164C,Non-Fatal,1.0
75564,PHASE II 582,Non-Fatal,1.0
75567,767 36N,Non-Fatal,2.0
75572,AVENTURA 2,Non-Fatal,1.0
75573,G 164,Non-Fatal,1.0
75577,DRIFTER,Non-Fatal,1.0
75586,LOEHLE MUSTANG T5151,Fatal,1.0
75587,A 1,Fatal,1.0
75592,A 1,Non-Fatal,1.0
75598,BOEING 737-8AS,Non-Fatal,2.0
75603,PA 30,Non-Fatal,2.0
75604,L19 - A,Non-Fatal,1.0
75606,DHC 2,Non-Fatal,1.0
75610,95 55,Non-Fatal,2.0
75617,SKYBOLT,Fatal,1.0
75620,SKYRAIDER,Fatal,1.0
75626,UPF 7,Non-Fatal,1.0
75629,PA 28-235,Fatal,1.0
75630,HOFFMAN BMW AIRTRIKE,Non-Fatal,1.0
75636,MARK III,Fatal,1.0
75637,PA 12,Fatal,1.0
75652,P 51D,Fatal,1.0
75653,CH601-HDS,Non-Fatal,1.0
75658,CT-SW 2006,Fatal,1.0
75659,GC 1B,Non-Fatal,1.0
75664,35 33,Non-Fatal,1.0
75665,EXPLORER,Non-Fatal,1.0
75668,PA 31P,Fatal,2.0
75669,PA 28R-180,Fatal,1.0
75671,RAVEN,Fatal,1.0
75678,DRAGONFLY B MODEL,Non-Fatal,1.0
75683,PA 17,Non-Fatal,1.0
75684,KITFOX SERIES V,Non-Fatal,1.0
75691,532,Fatal,1.0
75695,RIDGE RUNNER III,Non-Fatal,1.0
75698,47K,Non-Fatal,1.0
75703,LFA,Fatal,1.0
75705,PA 28R-201T,Fatal,1.0
75710,JS1-C,Fatal,1.0
75715,L 23 SUPER BLANIK,Non-Fatal,0.0
75722,AURIGA,Non-Fatal,1.0
75723,S2RHG T65,Non-Fatal,1.0
75728,ALPHA TRAINER,Non-Fatal,1.0
75730,VIXEN,Non-Fatal,1.0
75735,MAGNI M 16,Non-Fatal,1.0
75739,G 164A,Non-Fatal,1.0
75740,47G 2A,Non-Fatal,1.0
75754,KITFOX IV SPEEDSTER,Fatal,1.0
75755,182L,Fatal,1.0
75761,SPARROW SPORT SPEC,Non-Fatal,1.0
75776,ULTRASTAR,Non-Fatal,1.0
75777,206A,Fatal,1.0
75786,DHC 6 300,Non-Fatal,2.0
75792,THUNDER MUSTANG,Non-Fatal,1.0
75807,PA 28RT-201T,Non-Fatal,1.0
75809,AT 802A,Non-Fatal,1.0
75810,LEGACY,Fatal,1.0
75818,RV 9A,Non-Fatal,1.0
75820,A36 - UNDESIGNAT,Non-Fatal,1.0
75823,M20L - NO SERIES,Fatal,1.0
75824,BREEZY,Fatal,1.0
75836,G 164B,Fatal,1.0
75837,S-16,Non-Fatal,1.0
75838,FEW P-51 MUSTANG,Fatal,1.0
75839,XE,Non-Fatal,1.0
75844,182F,Fatal,1.0
75847,AIRBORNE EDGE X,Non-Fatal,1.0
75850,PA20 - UNDESIGNAT,Non-Fatal,1.0
75851,EMB 720C,Fatal,1.0
75853,RANS S 6S,Non-Fatal,1.0
75859,ZENITH,Fatal,1.0
75860,BC12 - D,Non-Fatal,1.0
75866,PA 34-220T,Non-Fatal,2.0
75868,PHANTOM X 1,Non-Fatal,1.0
75869,F 28F,Non-Fatal,1.0
75871,J250 SP,Non-Fatal,1.0
75874,MXL Sport II,Fatal,1.0
75878,SERIES 5,Non-Fatal,1.0
75879,PA 28R-201,Fatal,1.0
75883,CL600 2D24 - 900,Non-Fatal,2.0
75893,RV 3M,Non-Fatal,1.0
75895,47G 2,Fatal,1.0
75900,S11AC,Non-Fatal,1.0
75901,DHC 8 102,Non-Fatal,2.0
75902,95 B55 (T42A),Non-Fatal,2.0
75910,47G 5,Fatal,1.0
75914,AT 401B,Non-Fatal,1.0
75917,560XL,Fatal,2.0
75921,188 - UNDESIGNAT,Non-Fatal,1.0
75929,JETSTREAM3100 - 3102,Non-Fatal,2.0
75931,PA 32-300,Fatal,1.0
75940,A75N1 (PT-17),Non-Fatal,1.0
75944,STARDUSTER II SA300,Fatal,1.0
75945,LC 40 550FG,Fatal,1.0
75955,ROBINSON R44 II,Non-Fatal,1.0
75960,STOL CH 750,Non-Fatal,1.0
75962,SKY RAIDER,Non-Fatal,1.0
75969,2S,Non-Fatal,1.0
75973,ZODIAC 601 HD,Non-Fatal,1.0
75975,A320 - 231,Non-Fatal,2.0
75976,S 6S,Non-Fatal,1.0
75978,ERJ170-200LR,Non-Fatal,2.0
75989,DHC 6 TWIN OTTER,Non-Fatal,2.0
75994,S17,Fatal,1.0
75996,PA 32R-301T,Non-Fatal,1.0
76001,MT 7-235,Non-Fatal,1.0
76003,LOEHLE 5151 MUSTANG,Fatal,1.0
76010,ERJ 170 200 LR,Non-Fatal,2.0
76015,NAVION F,Non-Fatal,1.0
76019,C 4000,Non-Fatal,1.0
76024,FOXTROT 4,Fatal,1.0
76031,PA 12,Non-Fatal,1.0
76032,KITFOX   SERIES 5,Non-Fatal,1.0
76035,EDGE X,Non-Fatal,1.0
76041,CTLS LSA,Non-Fatal,1.0
76045,SH 3R,Non-Fatal,1.0
76051,SUPER BEARHAWK,Non-Fatal,1.0
76060,A330 - 301,Non-Fatal,2.0
76069,ASW 19B,Non-Fatal,0.0
76070,TIERRA II,Fatal,1.0
76079,M 5-235C,Non-Fatal,1.0
76087,FBA 2C1,Non-Fatal,1.0
76096,MT 7-260,Non-Fatal,1.0
76105,EMB 145XR,Non-Fatal,2.0
76109,BE-300-LW,Fatal,2.0
76118,H 295,Non-Fatal,1.0
76126,M 7-235B,Non-Fatal,1.0
76128,A320 232,Non-Fatal,2.0
76133,EMB 505,Non-Fatal,2.0
76134,T 28C,Fatal,1.0
76136,162,Fatal,1.0
76139,CC11 100,Non-Fatal,1.0
76140,H 250,Non-Fatal,1.0
76142,PA 36-285,Non-Fatal,1.0
76145,ACRO SPORT II,Fatal,1.0
76151,ASK 21,Non-Fatal,0.0
76154,CB2000,Fatal,1.0
76163,BUSHWACKER,Non-Fatal,1.0
76170,PA25 - 260,Non-Fatal,1.0
76171,PA 31T - II,Non-Fatal,2.0
76174,SR22 - NO SERIES,Non-Fatal,1.0
76182,KITFOX III,Fatal,1.0
76187,GT 400,Non-Fatal,1.0
76200,582,Fatal,1.0
76208,THUNDER MUSTANG,Fatal,1.0
76209,777 223,Non-Fatal,2.0
76210,SONEX WAIEX,Fatal,1.0
76213,206L 1,Fatal,1.0
76223,EMB 145LR,Non-Fatal,2.0
76224,XENON R,Fatal,1.0
76229,S 2F3AT,Fatal,2.0
76236,ZENITH ZODIAK 601XL,Non-Fatal,1.0
76257,VAN'S RV-6A,Fatal,1.0
76259,HAWKER,Non-Fatal,2.0
76262,PA32 301FT,Non-Fatal,1.0
76270,737 330,Non-Fatal,2.0
76273,EDGE XT 912 L,Non-Fatal,1.0
76281,S.205 18R,Non-Fatal,1.0
76282,SONEX TRIGEAR,Fatal,1.0
76284,HAWK ARROW II SLSA,Fatal,1.0
76286,D95,Fatal,2.0
76289,MAVERICK,Non-Fatal,1.0
76298,T 6G,Non-Fatal,1.0
76300,172 - S,Non-Fatal,1.0
76301,UH1H,Non-Fatal,1.0
76302,CTLSi,Non-Fatal,1.0
76303,P51 - D,Non-Fatal,1.0
76311,S211,Non-Fatal,1.0
76317,UC 1,Non-Fatal,2.0
76323,AQUILLA,Non-Fatal,1.0
76330,M20,Fatal,1.0
76335,RV 4,Fatal,1.0
76338,P 40B,Non-Fatal,1.0
76339,R66,Non-Fatal,1.0
76340,HAWKER HUNTER MK.58,Fatal,1.0
76345,339,Fatal,1.0
76352,EA 300,Non-Fatal,1.0
76360,140A,Fatal,1.0
76363,MOSQUITO XET,Non-Fatal,1.0
76368,RV 8A,Non-Fatal,1.0
76374,KITFOX 6,Non-Fatal,1.0
76390,500 B,Fatal,2.0
76391,MD500,Non-Fatal,1.0
76402,500A,Fatal,2.0
76407,VANS AIRCRAFT RV 3,Fatal,1.0
76410,OH 23B,Non-Fatal,1.0
76411,737 824,Non-Fatal,2.0
76415,TB 20 TRINIDAD,Non-Fatal,1.0
76443,210 5(205),Non-Fatal,1.0
76448,CM 170R MAGISTER,Non-Fatal,2.0
76455,EMB-500,Fatal,2.0
76459,P210 - N,Non-Fatal,1.0
76468,RENEGADE SPIRIT,Fatal,1.0
76469,REVELATION,Non-Fatal,1.0
76471,TORNADO II,Fatal,1.0
76475,PA 18-150,Fatal,1.0
76476,AS 350 B2 ECUREUIL,Non-Fatal,1.0
76481,25D,Fatal,2.0
76484,THORP T 18,Non-Fatal,1.0
76488,BEAVER,Non-Fatal,1.0
76495,T207 - A,Fatal,1.0
76504,PA 23-160,Fatal,2.0
76506,172 - S,Fatal,1.0
76508,404,Fatal,2.0
76511,ZENITH ZODIAC CH 650,Non-Fatal,1.0
76512,PA 28-181,Fatal,1.0
76523,STORM,Non-Fatal,1.0
76528,35 A33,Non-Fatal,1.0
76536,CALIDUS,Non-Fatal,1.0
76550,EMB-710C,Fatal,1.0
76551,PA 28RT-201T,Fatal,1.0
76588,MX 7-180,Non-Fatal,1.0
76601,280FX,Fatal,1.0
76605,VANS RV9A,Fatal,1.0
76608,47 G,Non-Fatal,1.0
76610,ALASKAN BUSHMASTER,Non-Fatal,1.0
76622,PA46 500TP,Fatal,1.0
76630,G IV,Non-Fatal,2.0
76633,U206 - G,Non-Fatal,1.0
76636,RV7 - UNDESIGNAT,Non-Fatal,1.0
76639,ERJ 190 100 IGW,Non-Fatal,2.0
76641,185 - E,Non-Fatal,1.0
76644,WHEELER EXPRESS,Fatal,1.0
76648,VELOCITY STD/RG E,Non-Fatal,1.0
76651,M20E - NO SERIES,Non-Fatal,1.0
76652,BULLDOG - 120 121,Non-Fatal,1.0
76654,LANCAIR EVOLUTION,Non-Fatal,1.0
76655,PA28 - 180,Non-Fatal,1.0
76665,T210 - L,Non-Fatal,1.0
76669,RANS S-6ES COYOTE II,Fatal,1.0
76674,PA 32RT-300T,Non-Fatal,1.0
76675,AW119 MKII,Non-Fatal,1.0
76677,PA46 - 350P,Fatal,1.0
76679,ROBIN DR 400/140 B,Fatal,1.0
76680,MD 11F,Non-Fatal,3.0
76687,EXEC 162 F,Non-Fatal,1.0
76693,ZODIAC CH 650,Non-Fatal,1.0
76695,CL600-2A12,Non-Fatal,2.0
76699,PA 46-310P,Non-Fatal,1.0
76700,DA1,Fatal,1.0
76702,FREEDOM,Fatal,1.0
76719,RV 6,Fatal,1.0
76721,EC-130-B4,Fatal,1.0
76723,SKY RANGER II,Non-Fatal,1.0
76725,RANS S 12,Non-Fatal,1.0
76729,VANS RV 7A,Non-Fatal,1.0
76731,PA18 - 150,Non-Fatal,1.0
76744,M 7-260C,Non-Fatal,1.0
76745,MK-67 HAWK,Fatal,1.0
76753,A1 - B,Non-Fatal,1.0
76754,ROTORWAY TALON,Non-Fatal,1.0
76755,CL 600 2C10,Non-Fatal,2.0
76756,F28 - C,Non-Fatal,1.0
76759,TWINSTAR,Fatal,1.0
76776,P92 EAGLET,Non-Fatal,1.0
76785,F 1 ROCKET,Non-Fatal,1.0
76794,A320-211,Fatal,2.0
76798,17 31A,Non-Fatal,1.0
76800,172 - H,Non-Fatal,1.0
76804,PA32R - 301,Fatal,1.0
76808,ZENITH CH701,Non-Fatal,1.0
76809,RANS S 7 COURIER,Non-Fatal,1.0
76812,J-4A,Fatal,1.0
76816,CC18 180,Non-Fatal,1.0
76823,RV 8,Non-Fatal,1.0
76825,L23 - NO SERIES,Non-Fatal,0.0
76827,A320 - 211,Non-Fatal,2.0
76829,206 L-1,Fatal,1.0
76833,CH601XL,Fatal,1.0
76836,BD-22,Fatal,1.0
76837,LC 40 550FG,Non-Fatal,1.0
76842,MXL II,Fatal,1.0
76844,YAK 52TW,Fatal,1.0
76849,PIPER PA-28-140,Fatal,1.0
76850,JABIRU - SP,Non-Fatal,1.0
76852,AT 402A,Non-Fatal,1.0
76856,PA 22-135,Non-Fatal,1.0
76867,MM1,Non-Fatal,1.0
76869,CHALLENGER - II,Fatal,1.0
76878,AX8 105 - NO SERIES,Non-Fatal,2.0
76884,SA226-TC,Fatal,2.0
76887,PITTS S2E,Fatal,1.0
76888,TBM700,Non-Fatal,1.0
76894,PULSR,Non-Fatal,1.0
76895,SD 360-300,Non-Fatal,2.0
76900,SA227 AC,Non-Fatal,2.0
76910,Model 12,Non-Fatal,1.0
76913,C 50,Non-Fatal,2.0
76923,1730 - A,Non-Fatal,1.0
76931,D95,Non-Fatal,2.0
76940,MBB BK 117 C-2,Fatal,2.0
76943,AT 4 LSA,Non-Fatal,1.0
76944,ZENITH 701,Fatal,1.0
76951,SOLARA 50,Non-Fatal,1.0
76956,GS1 GLASTAR,Non-Fatal,1.0
76961,LA 1,Non-Fatal,1.0
76974,TH 55,Non-Fatal,1.0
76976,ZENITH CH 701,Non-Fatal,1.0
76977,A319 112,Non-Fatal,2.0
76979,PIK 30,Non-Fatal,1.0
76981,727-2F9,Non-Fatal,2.0
76984,206L 3,Non-Fatal,1.0
76987,HB-1,Non-Fatal,1.0
76996,M 4-220C,Non-Fatal,1.0
77007,PC12 - 45,Non-Fatal,1.0
77013,PA 24-260,Fatal,1.0
77014,MIGLET,Non-Fatal,1.0
77015,MX 7-180C,Non-Fatal,1.0
77016,PA28 - 140,Non-Fatal,1.0
77017,LAKE LA4-200,Non-Fatal,1.0
77025,114,Fatal,1.0
77027,95 B55 (T42A),Fatal,2.0
77031,S2R G6,Non-Fatal,1.0
77036,210F,Fatal,1.0
77037,DR400,Fatal,1.0
77038,LAKE LA 4 200,Non-Fatal,1.0
77042,TURBINE LEGEND,Fatal,1.0
77043,A320 212,Non-Fatal,2.0
77047,RV 6A,Non-Fatal,1.0
77048,PA44,Non-Fatal,2.0
77055,PA 25-260,Non-Fatal,1.0
77070,777 - 236,Non-Fatal,2.0
77071,L39,Non-Fatal,1.0
77072,47G 3B 1,Non-Fatal,1.0
77078,PULSAR III,Non-Fatal,1.0
77080,206 - B11,Non-Fatal,1.0
77081,EXPRESS 2000 RG,Non-Fatal,1.0
77087,RAG WING RW-6,Non-Fatal,1.0
77098,CYGNET,Non-Fatal,1.0
77099,PA 22-135,Fatal,1.0
77100,S2R T34,Fatal,1.0
77101,SONEX SA,Fatal,1.0
77107,S 12XL,Non-Fatal,1.0
77108,ASW27 - 18E,Fatal,1.0
77110,GULFSTREAM AM G 164B,Non-Fatal,1.0
77119,REBEL,Fatal,1.0
77120,CC18-180,Fatal,1.0
77121,DHC 8,Non-Fatal,2.0
77123,SPORTCOPTER VOTEX M,Non-Fatal,1.0
77130,CH601XLB,Non-Fatal,1.0
77143,DC 9 83(MD-83),Non-Fatal,2.0
77146,EROS 1650R,Non-Fatal,1.0
77151,F35,Fatal,1.0
77153,PA28-200,Non-Fatal,1.0
77157,RC 45J,Non-Fatal,2.0
77169,PA 32,Fatal,1.0
77170,AA-5,Fatal,1.0
77180,F 28C,Non-Fatal,1.0
77182,RANS S-10 KIT,Non-Fatal,1.0
77185,BAE 125 800,Non-Fatal,2.0
77194,ES - NO SERIES,Non-Fatal,1.0
77196,B 55,Non-Fatal,2.0
77197,SUPER BEAR,Non-Fatal,1.0
77204,PIPER SPORT,Fatal,1.0
77208,BEAR HAWK,Non-Fatal,1.0
77212,S312 TUCANO T MK1,Fatal,1.0
77219,VENTUS 2C,Non-Fatal,0.0
77225,PA 24,Non-Fatal,1.0
77226,SGS 2 32,Non-Fatal,0.0
77233,CH-701 ZENITH,Non-Fatal,1.0
77236,CH750,Non-Fatal,1.0
77238,PITTS S-2B,Fatal,1.0
77244,GREAT LAKES,Fatal,1.0
77250,407 - NO SERIES,Non-Fatal,1.0
77256,PA 18 SUPER CUB KIT,Non-Fatal,1.0
77262,SD3 60,Non-Fatal,2.0
77264,C 99,Non-Fatal,2.0
77265,737 832,Non-Fatal,2.0
77270,AA 5A,Non-Fatal,1.0
77276,FIREFLY8 - 24,Non-Fatal,1.0
77280,AS350B3E,Fatal,1.0
77293,7BCM,Fatal,1.0
77299,C 1,Non-Fatal,1.0
77300,112TCA,Fatal,1.0
77301,SPORTSTAR SL,Non-Fatal,1.0
77304,KODIAC 100,Non-Fatal,1.0
77312,SGS 1 26B,Non-Fatal,0.0
77314,PC12,Non-Fatal,1.0
77321,M 20G,Non-Fatal,1.0
77327,PA 22-160,Fatal,1.0
77332,210 5A(205A),Non-Fatal,1.0
77336,AA 5,Non-Fatal,1.0
77342,CLIPPER 582,Non-Fatal,1.0
77343,TCOW SMITH CUB,Non-Fatal,1.0
77345,A330 - 323,Non-Fatal,2.0
77354,CLIP WING,Non-Fatal,1.0
77357,450 ULTRA,Fatal,1.0
77368,BB100Z,Non-Fatal,4.0
77389,7BCM (L-16A),Fatal,1.0
77403,SPORTSTER B,Non-Fatal,1.0
77409,QUICKIE Q 2,Non-Fatal,1.0
77416,47G 4A,Non-Fatal,1.0
77423,ZENITH CH 601XL,Fatal,1.0
77424,108 - 3,Non-Fatal,1.0
77425,BEDE BD-5G,Fatal,1.0
77426,PA38 - 112,Fatal,1.0
77432,BUCKEYE DREAM MACHIN,Non-Fatal,1.0
77433,CESSNA F172N,Non-Fatal,1.0
77437,TAILWIND   W8,Non-Fatal,1.0
77442,M35,Fatal,1.0
77448,MOSQUITO,Non-Fatal,1.0
77450,EAGLE DW 1,Non-Fatal,1.0
77458,EMB505,Fatal,2.0
77461,12-m,Non-Fatal,1.0
77462,P337G,Fatal,2.0
77468,ZODIAC CH 601 XLB,Non-Fatal,1.0
77470,C90B,Non-Fatal,2.0
77471,ASW 20B,Non-Fatal,0.0
77473,RAPIER,Non-Fatal,1.0
77474,JA30 SUPERSTOL,Non-Fatal,1.0
77482,G164 - B,Non-Fatal,1.0
77493,CB 1,Non-Fatal,1.0
77498,KITFOX MODEL 1,Fatal,1.0
77502,ZENITH 601 HD,Non-Fatal,1.0
77504,SPIRIT,Non-Fatal,1.0
77505,E175,Non-Fatal,2.0
77515,AEROS 2,Non-Fatal,1.0
77516,Dream Macine,Non-Fatal,1.0
77518,RAF 2000 GT,Fatal,1.0
77521,DHC 2,Fatal,1.0
77522,C421B,Non-Fatal,2.0
77529,AA 5A,Fatal,1.0
77530,TRIXY PRINCESS,Non-Fatal,1.0
77538,N35,Fatal,1.0
77546,SR 9B,Non-Fatal,1.0
77552,T 28A,Fatal,1.0
77557,SHA GLASAIR,Non-Fatal,1.0
77591,500 B,Non-Fatal,2.0
77593,S 61A,Non-Fatal,2.0
77594,L 5E,Non-Fatal,1.0
77598,429,Non-Fatal,2.0
77608,MU 2B-25,Non-Fatal,2.0
77609,35 B33,Fatal,1.0
77611,ASW 20,Fatal,0.0
77613,269C - UNDESIGNAT,Non-Fatal,1.0
77615,DHC-2 MK. I,Fatal,1.0
77620,Ercoupe 415,Non-Fatal,1.0
77630,PA44,Fatal,2.0
77631,PA 25,Fatal,1.0
77637,DV-1,Non-Fatal,1.0
77639,ONE EASY,Fatal,1.0
77641,GILES 202 (G202),Fatal,1.0
77644,E 90,Non-Fatal,2.0
77648,SKYPPER,Non-Fatal,1.0
77655,S2,Fatal,1.0
77656,THATCHER CX4A,Non-Fatal,1.0
77661,SUPER CUB SQ2,Non-Fatal,1.0
77662,LANCAIR SUPER ES,Non-Fatal,1.0
77665,RV 8A,Fatal,1.0
77667,RV 6A,Fatal,1.0
77677,PA 28RT-201,Non-Fatal,1.0
77697,BOEING 777-236,Non-Fatal,2.0
77700,Lake LA-4-250,Fatal,1.0
77703,SPACE WALKER,Non-Fatal,1.0
77706,M20TN,Fatal,1.0
77707,Beech C 24R,Fatal,1.0
77717,L39,Fatal,1.0
77718,SKYSTAR SERIES 5,Non-Fatal,1.0
77729,DHC 2 MK.I,Non-Fatal,1.0
77731,DHC 3T,Fatal,1.0
77732,S-19,Non-Fatal,1.0
77734,RV10,Fatal,1.0
77739,A4N,Non-Fatal,1.0
77745,H 395,Non-Fatal,1.0
77748,1000,Non-Fatal,1.0
77761,GLASAIR RG,Fatal,1.0
77767,680 E,Non-Fatal,2.0
77771,SEAWIND 3000 EXPERIM,Non-Fatal,1.0
77782,SPORT COPTER VORTEX,Non-Fatal,1.0
77791,BUSHBY MUSTANG II,Fatal,1.0
77793,HW75,Non-Fatal,1.0
77794,DGA 15P,Non-Fatal,1.0
77795,ZODIAC  CH 601 HD,Fatal,1.0
77813,PA 30,Fatal,2.0
77814,M 7-235C,Non-Fatal,1.0
77815,FW2TDXLS,Non-Fatal,1.0
77822,Coot,Fatal,1.0
77834,Super Bushmaster,Non-Fatal,1.0
77835,STARDUSTER TOO SA 30,Non-Fatal,1.0
77848,EMB721C,Fatal,1.0
77855,PA,Non-Fatal,1.0
77857,PA 38-112,Fatal,1.0
77859,BB,Non-Fatal,4.0
77874,FREE BIRD CLASSIC,Fatal,1.0
77877,VANS RV 4,Non-Fatal,1.0
77883,PA 28-180,Fatal,1.0
77886,BU 133,Fatal,1.0
77891,HP 14,Non-Fatal,0.0
77898,CA8,Non-Fatal,1.0
77903,Vans RV-4,Fatal,1.0
77938,No model,Fatal,1.0
77943,Lancair Super ES,Fatal,1.0
77946,601,Non-Fatal,1.0
77950,609,Fatal,2.0
77962,BC12 65,Non-Fatal,1.0
77969,Kitfox 2-3,Non-Fatal,1.0
77976,CTLS,Fatal,1.0
77979,CH701,Fatal,1.0
77982,T 18,Non-Fatal,1.0
77983,310,Fatal,1.0
77985,EC 135,Non-Fatal,2.0
77992,Aerolite 103,Non-Fatal,1.0
78004,208B,Non-Fatal,2.0
78009,RANS S6-ES,Non-Fatal,1.0
78012,Travel Air,Non-Fatal,1.0
78015,LAKE LA-4,Non-Fatal,1.0
78020,182G,Fatal,1.0
78032,EC135,Non-Fatal,2.0
78043,56,Non-Fatal,2.0
78052,BACKCOUNTRY SUPERCUB,Non-Fatal,1.0
78071,VIRUS,Non-Fatal,1.0
78084,L 39C,Fatal,1.0
78090,EMB720,Fatal,1.0
78092,CCK-1865,Fatal,1.0
78097,RV7,Fatal,1.0
78099,A319 115,Non-Fatal,2.0
78110,PA 31,Non-Fatal,2.0
78114,RANS S-12 AIRAILE,Fatal,1.0
78116,KITFOX 7,Non-Fatal,1.0
78127,AS350,Fatal,2.0
78134,PA 32RT-300T,Fatal,1.0
78135,RANS S 12XL,Non-Fatal,1.0
78141,MINICOUPE,Non-Fatal,1.0
78143,MD SPECIAL,Non-Fatal,1.0
78159,737 76N,Non-Fatal,2.0
78176,Velocity STD RG,Non-Fatal,1.0
78179,ZODIAC 601 XL,Non-Fatal,1.0
78181,ERJ 170 100 SE,Non-Fatal,2.0
78187,35 C33,Non-Fatal,1.0
78193,1600,Fatal,1.0
78201,ONEX,Fatal,1.0
78209,ERCOUPE 415,Non-Fatal,1.0
78211,FLIGHTSTAR II,Fatal,1.0
78212,PA 22-108,Fatal,1.0
78213,C35,Fatal,2.0
78217,CE-208,Non-Fatal,1.0
78222,H 13,Non-Fatal,1.0
78234,AT401,Fatal,1.0
