,Model,Injury.Severity,Number.of.Engines
999,E18S,Fatal(2),2.0
1005,BE-19,Non-Fatal,1.0
1006,47G-3B-1,Non-Fatal,1.0
1009,152,Fatal(2),1.0
1010,210B,Non-Fatal,1.0
1011,EAGLE II,Non-Fatal,1.0
1014,175A,Non-Fatal,1.0
1016,A150,Non-Fatal,1.0
1021,PA-24-250,Fatal(1),1.0
1025,152,Fatal(1),1.0
1027,B75L,Non-Fatal,1.0
1028,BM8,Non-Fatal,1.0
1030,M35,Incident,1.0
1031,AA-1A,Non-Fatal,1.0
1033,E75,Non-Fatal,1.0
1035,MS-1,Non-Fatal,1.0
1041,A24R,Non-Fatal,1.0
1046,C35,Non-Fatal,1.0
1048,A188,Non-Fatal,1.0
1049,PA-18A,Non-Fatal,1.0
1050,R-22HP,Non-Fatal,1.0
1051,TU-206A,Non-Fatal,1.0
1052,NAV-4,Non-Fatal,1.0
1053,JRF,Fatal(1),1.0
1055,M20A,Non-Fatal,1.0
1056,PA-28-140,Fatal(2),1.0
1058,2T-1A-2,Fatal(2),1.0
1061,UH-12A,Non-Fatal,1.0
1062,35-33,Non-Fatal,1.0
1063,M35,Non-Fatal,1.0
1064,2,Non-Fatal,1.0
1068,PA-12,Non-Fatal,1.0
1069,2-2-2E,Fatal(1),1.0
1071,7GCAA,Non-Fatal,1.0
1077,150H,Fatal(2),1.0
1078,F33A,Incident,1.0
1080,188B,Non-Fatal,1.0
1082,182M,Non-Fatal,1.0
1084,S-55B,Non-Fatal,1.0
1085,369HS,Non-Fatal,1.0
1086,TOMCAT MK6C,Fatal(1),1.0
1087,B90,Fatal(7),2.0
1089,207,Fatal(1),1.0
1093,23,Fatal(4),2.0
1099,402A,Non-Fatal,2.0
1100,17-30,Fatal(2),1.0
1101,M20G,Non-Fatal,1.0
1102,PA-28,Non-Fatal,1.0
1106,133,Non-Fatal,1.0
1110,SA-319B,Non-Fatal,1.0
1111,172,Fatal(4),1.0
1112,LTD.,Non-Fatal,0.0
1113,600,Fatal(3),2.0
1114,47D1,Fatal(1),1.0
1115,J35,Fatal(1),1.0
1117,A75N1,Fatal(1),1.0
1119,L-13,Fatal(1),0.0
1121,PA-28-180,Non-Fatal,4.0
1124,H-395,Non-Fatal,1.0
1125,195,Non-Fatal,1.0
1126,MONOPLANE,Non-Fatal,1.0
1127,G164A,Non-Fatal,1.0
1129,8A,Fatal(2),1.0
1131,T210M,Fatal(2),1.0
1132,182E,Fatal(2),1.0
1134,A36,Non-Fatal,1.0
1135,14-19,Non-Fatal,1.0
1138,17-31ATC,Non-Fatal,1.0
1140,LA-4,Non-Fatal,1.0
1141,B-2B,Fatal(1),1.0
1142,A150L,Non-Fatal,1.0
1147,172C,Fatal(1),1.0
1148,HP-18,Non-Fatal,0.0
1150,(SOLOY CONVERSION),Non-Fatal,1.0
1153,PA-12,Fatal(2),1.0
1155,J3C-75,Non-Fatal,1.0
1156,G164B,Non-Fatal,1.0
1158,E33,Non-Fatal,1.0
1159,PA-16,Non-Fatal,1.0
1162,980(695),Fatal(2),2.0
1164,24B,Incident,2.0
1165,PA 28-181,Non-Fatal,1.0
1170,18,Fatal(1),1.0
1178,182Q,Non-Fatal,1.0
1179,PA-28R,Non-Fatal,1.0
1180,AA5,Non-Fatal,1.0
1181,AMPHIBIAN,Non-Fatal,1.0
1184,PA-32RT-300,Non-Fatal,1.0
1185,S35,Fatal(3),1.0
1194,PA-20S,Non-Fatal,1.0
1198,A23-19,Non-Fatal,1.0
1199,95-C55,Fatal(4),2.0
1200,111M,Non-Fatal,1.0
1202,680F,Non-Fatal,2.0
1205,PA-36-285,Non-Fatal,1.0
1208,SA11A,Non-Fatal,1.0
1210,180C,Non-Fatal,1.0
1212,185A,Non-Fatal,1.0
1216,DHC-6-200,Non-Fatal,2.0
1218,SGU 2 22E,Non-Fatal,0.0
1220,J3C-65,Fatal(1),1.0
1222,A,Non-Fatal,1.0
1223,SNJ-5,Non-Fatal,1.0
1227,7EC,Non-Fatal,1.0
1230,F-28C,Non-Fatal,1.0
1231,BABY LAKES,Non-Fatal,1.0
1232,E75N1,Non-Fatal,1.0
1237,188A,Non-Fatal,1.0
1238,A24R,Fatal(4),1.0
1239,188,Non-Fatal,1.0
1244,172B,Non-Fatal,1.0
1245,SA26-T,Non-Fatal,2.0
1247,47G-5,Non-Fatal,1.0
1248,P-60-601P,Fatal(1),2.0
1250,G-159C,Incident,2.0
1257,108-3,Non-Fatal,1.0
1258,A188,Fatal(1),1.0
1260,QUICKIE 2,Non-Fatal,1.0
1264,R182,Non-Fatal,1.0
1265,17-30,Non-Fatal,1.0
1268,112TC,Fatal(2),1.0
1270,182QII,Non-Fatal,1.0
1274,47D-1,Non-Fatal,1.0
1278,L-13,Non-Fatal,0.0
1279,47G-1,Non-Fatal,1.0
1281,150F,Fatal(2),1.0
1282,T337B,Fatal(1),2.0
1283,1-11-204AF,Incident,2.0
1286,172XP,Non-Fatal,1.0
1287,180D,Non-Fatal,1.0
1291,18-150,Fatal(2),1.0
1292,BG12B,Fatal(1),0.0
1293,164,Non-Fatal,1.0
1294,A23,Fatal(3),1.0
1295,DC-9-15F,Non-Fatal,2.0
1299,V35A,Non-Fatal,1.0
1300,B75N1,Non-Fatal,1.0
1301,24-260,Non-Fatal,1.0
1302,182F,Non-Fatal,1.0
1306,404,Incident,2.0
1309,PA-22-108,Non-Fatal,1.0
1313,B-2B,Non-Fatal,1.0
1315,65-TF,Fatal(1),1.0
1319,8A,Fatal(1),1.0
1322,R22,Non-Fatal,1.0
1325,47D1,Non-Fatal,1.0
1327,T210F,Non-Fatal,1.0
1328,B95,Non-Fatal,2.0
1336,S-1S,Non-Fatal,1.0
1337,ASW-15,Non-Fatal,0.0
1343,DC10-10,Non-Fatal,3.0
1345,320D,Fatal(8),2.0
1347,DC-8-61,Incident,4.0
1348,172P,Fatal(1),1.0
1349,172N,Fatal(2),1.0
1350,206B,Fatal(3),1.0
1354,500D,Non-Fatal,1.0
1356,A-9B,Non-Fatal,1.0
1358,G-164A,Fatal(1),1.0
1360,SA226-TC,Non-Fatal,2.0
1362,PA-31P-135,Incident,2.0
1363,LA-4-200,Non-Fatal,1.0
1364,D95A,Fatal(5),2.0
1367,TP206A,Non-Fatal,1.0
1369,RISE,Non-Fatal,1.0
1373,K600-3,Non-Fatal,1.0
1374,R182,Fatal(4),1.0
1375,AT 301,Non-Fatal,1.0
1376,PA-18,Fatal(1),1.0
1377,BELL 47,Non-Fatal,1.0
1382,240,Non-Fatal,2.0
