,Make,Injury.Severity,Number.of.Engines,Engine.Type
71734,GLASS ROY L,Non-Fatal,1.0,Reciprocating
71736,TUCKER-HURNI,Non-Fatal,1.0,Reciprocating
71737,RICE LEO B,Non-Fatal,1.0,Reciprocating
71738,Hawker Beech,Non-Fatal,1.0,Reciprocating
71753,SHOUP RONALD R,Non-Fatal,1.0,Reciprocating
71755,CAMPBELL DAVID,Non-Fatal,1.0,Reciprocating
71760,BERRY DEAN,Non-Fatal,1.0,Reciprocating
71767,GALLOWAY/WARD,Non-Fatal,1.0,Reciprocating
71777,"CubCrafters, Inc",Non-Fatal,1.0,Reciprocating
71793,GUTIERREZ PABLINO,Fatal,1.0,Reciprocating
71796,Donald K Stovall,Non-Fatal,1.0,Reciprocating
71798,SUKHOI,Fatal,2.0,Turbo Fan
71801,COSTRUZIONI AERONAUTICHE TECNA,Non-Fatal,2.0,Reciprocating
71811,CONVAIR,Non-Fatal,2.0,Turbo Prop
71819,LUTTENBACHER KURT,Non-Fatal,1.0,Reciprocating
71820,RISHER JIMMY E,Non-Fatal,1.0,Reciprocating
71822,POOL,Non-Fatal,1.0,Reciprocating
71826,STAUDACHER HYDROPLANES,Non-Fatal,1.0,Reciprocating
71827,M SQUARED,Fatal,1.0,Reciprocating
71830,BECKERT BRUCE A,Non-Fatal,1.0,Reciprocating
71831,MAULE,Non-Fatal,1.0,Turbo Prop
71838,HUNTER,Non-Fatal,1.0,Reciprocating
71839,TROYER,Non-Fatal,1.0,Reciprocating
71847,MARLEY,Non-Fatal,1.0,Reciprocating
71848,CZECH SPORT AIRCRAFT A S,Non-Fatal,1.0,Reciprocating
71849,Rotherwick HR,Non-Fatal,1.0,Reciprocating
71852,SHIVER,Non-Fatal,1.0,Reciprocating
71853,SHORT BROS,Non-Fatal,2.0,Turbo Prop
71854,HAWKER AIRCRAFT LTD,Fatal,1.0,Turbo Jet
71855,AERO VODOCHODY,Fatal,1.0,Turbo Fan
71858,DIAL DAVID L,Fatal,1.0,Reciprocating
71859,JACKSON,Non-Fatal,1.0,Reciprocating
71860,AVIA STROITEL,Fatal,1.0,Reciprocating
71873,"BELCHER, GERALD C",Non-Fatal,1.0,Reciprocating
71878,SHEPARD JIMMY D JR,Fatal,1.0,Reciprocating
71882,Aero Works,Non-Fatal,1.0,Reciprocating
71886,WAGGONNER,Non-Fatal,1.0,Reciprocating
71894,LYDON PATRICK F,Non-Fatal,1.0,Reciprocating
71902,AEROS LTD/SKYRANGER AIRCRAFT,Non-Fatal,1.0,Reciprocating
71907,SMITH ALLEN,Non-Fatal,1.0,Reciprocating
71912,MOYES B/BAILEY B,Fatal,1.0,Reciprocating
71929,Tackabury,Fatal,2.0,Reciprocating
71936,BRUMBAUGH B/KASOWSKI L,Non-Fatal,1.0,Reciprocating
71943,BALDWIN,Non-Fatal,1.0,Reciprocating
71947,HAWKER BEECHCRAFT,Fatal,1.0,Reciprocating
71948,FALTIN JOHN R,Non-Fatal,1.0,Reciprocating
71953,WESTCOTT,Fatal,1.0,Reciprocating
71959,PITTMAN EDDIE G,Non-Fatal,1.0,Reciprocating
71966,WALLS CRAIG C,Non-Fatal,1.0,Reciprocating
71975,THOMAS SCOTT,Non-Fatal,1.0,Reciprocating
71980,HOAC-AUSTRIA,Non-Fatal,1.0,Reciprocating
71995,BOWEN CHRISTOPHER W,Fatal,1.0,Reciprocating
72004,PHILLIPS WILLIAM L,Fatal,1.0,Reciprocating
72011,FLOWER ROGER P,Fatal,1.0,Reciprocating
72013,BIRCHLER BOYD,Non-Fatal,1.0,Reciprocating
72014,AMEN,Non-Fatal,1.0,Reciprocating
72018,GRIFFITHS JAMES SYDNEY,Non-Fatal,1.0,Reciprocating
72019,BUCKEYE AVIATION,Non-Fatal,1.0,Reciprocating
72032,BOWLES CHRIS,Non-Fatal,1.0,Reciprocating
72045,REMOS ACFT GMBH FLUGZEUGBAU,Fatal,1.0,Reciprocating
72050,ROETMAN RYLAND K JR,Non-Fatal,1.0,Reciprocating
72052,BARNEY OLDFIELD AIRCRAFT CO,Non-Fatal,1.0,Reciprocating
72056,PETERSON-FEDER-SPLINTER,Non-Fatal,1.0,Reciprocating
72061,"Consolidated Aeronautics, Inc.",Non-Fatal,1.0,Reciprocating
72062,FISHER HAROLD R,Non-Fatal,1.0,Reciprocating
72067,BEECH,Non-Fatal,2.0,Turbo Jet
72079,DOSSER DALE A,Non-Fatal,1.0,Reciprocating
72087,EDSON ROBERT W,Non-Fatal,1.0,Reciprocating
72096,Hoyle,Non-Fatal,1.0,Reciprocating
72101,COX,Non-Fatal,1.0,Reciprocating
72102,UNIVERSAL STINSON,Fatal,1.0,Reciprocating
72107,DG-FLUGZEUGBAU GMBH,Non-Fatal,1.0,Reciprocating
72108,BURLEIGH,Non-Fatal,1.0,Reciprocating
72117,NAPPI TITO C,Fatal,1.0,Reciprocating
72119,SCHWEIZER(HUGHES)AIRCRAFT CORP,Non-Fatal,1.0,Reciprocating
72123,LUTERS ARNIS V,Non-Fatal,1.0,Turbo Prop
72124,REHN,Fatal,1.0,Reciprocating
72132,AVIAT,Fatal,1.0,Reciprocating
72135,MICHAEL A HOWARD,Non-Fatal,1.0,Reciprocating
72138,FIELDS MIKE,Non-Fatal,1.0,Reciprocating
72139,STEVEN BORNSTEIN/THOMAS WHITTA,Non-Fatal,1.0,Reciprocating
72143,Badeaux,Non-Fatal,1.0,Reciprocating
72156,WILKINSON LORIN L,Non-Fatal,1.0,Reciprocating
72161,LEDER JOHN A,Non-Fatal,1.0,Reciprocating
72164,SIX CHUTTER,Non-Fatal,1.0,Reciprocating
72174,OMLIN ROBERT G,Non-Fatal,1.0,Reciprocating
72182,PIEL,Non-Fatal,1.0,Reciprocating
72193,SHOREY TIMOTHY A,Non-Fatal,1.0,Reciprocating
72194,JONES PETER M,Non-Fatal,1.0,Reciprocating
72195,MURRAY RICHARD F,Non-Fatal,2.0,Reciprocating
72221,North American Rockwell,Non-Fatal,2.0,Turbo Prop
72225,MCHARGUE,Non-Fatal,1.0,Reciprocating
72227,BUNCH,Fatal,1.0,Reciprocating
72233,MIKOYAN GUREVICH,Non-Fatal,1.0,Turbo Jet
72236,SUD AVIATION/EUROCOPTER,Non-Fatal,1.0,Turbo Shaft
72238,GRUMMAN ACFT ENG COR-SCHWEIZER,Fatal,1.0,Reciprocating
72241,CZECH SPORT AIRCRAFT AS,Non-Fatal,1.0,Reciprocating
72248,LOFLIN,Non-Fatal,1.0,Reciprocating
72251,DOPPELT FREDRIC F,Non-Fatal,1.0,Reciprocating
72252,Czech Aircraft Works SPOL SRO,Non-Fatal,1.0,Reciprocating
72254,SC IAR SA Brasov,Non-Fatal,1.0,Turbo Prop
72258,SEIBERT ROBERT M,Non-Fatal,1.0,Reciprocating
72268,CHAPMAN MARK A,Non-Fatal,1.0,Reciprocating
72285,CHAMBERLAIN GERALD,Fatal,1.0,Reciprocating
72288,BRENHOLT LARRY R,Fatal,1.0,Reciprocating
72299,HEREM,Non-Fatal,1.0,Reciprocating
72302,BERTRAM WILLIAM J,Non-Fatal,1.0,Reciprocating
72311,Aerotrek,Non-Fatal,1.0,Reciprocating
72312,TOMAN JACK JR,Fatal,1.0,Reciprocating
72313,DORNIER,Non-Fatal,1.0,Reciprocating
72316,PURTEE KEVIN M,Non-Fatal,1.0,Reciprocating
72317,YAMOKOSKI WILLIAM,Non-Fatal,1.0,Reciprocating
72318,CubCrafters,Non-Fatal,1.0,Reciprocating
72322,JEFFKO,Fatal,1.0,Reciprocating
72329,Scotts-Bell 47 Inc,Non-Fatal,1.0,Reciprocating
72332,Nelson Miles,Non-Fatal,1.0,Reciprocating
72340,BAYLISS MILTON A III,Non-Fatal,1.0,Reciprocating
72343,HUGHES HELICOPTERS INC,Non-Fatal,1.0,Turbo Shaft
72346,"MOONEY AIRPLANE COMPANY, INC.",Non-Fatal,1.0,Reciprocating
72347,"Joseph C. Andrews, Jr.",Fatal,1.0,Reciprocating
72351,INTERPLANE,Non-Fatal,1.0,Reciprocating
72357,LEE OSCAR D III,Non-Fatal,1.0,Reciprocating
72366,BLACK DONALD,Non-Fatal,1.0,Reciprocating
72380,FAIRCHILD HILLER,Non-Fatal,1.0,Turbo Shaft
72382,BORDELON BRUCE,Non-Fatal,1.0,Reciprocating
72385,SILVAIRE,Fatal,1.0,Reciprocating
72388,GRUMMAN ACFT ENG COR,Non-Fatal,1.0,Reciprocating
72415,SAVAGE AIR LLC,Non-Fatal,1.0,Turbo Prop
72419,EMBRAER S.A.,Non-Fatal,2.0,Turbo Fan
72428,WILLIAMS JOHN,Non-Fatal,1.0,Reciprocating
72431,HILLER,Non-Fatal,1.0,Turbo Shaft
72433,Cantlon,Non-Fatal,1.0,Reciprocating
72435,CROSS DAVID L,Non-Fatal,1.0,Reciprocating
72437,MCDONNELL DOUGLAS HELICOPTER,Fatal,1.0,Turbo Shaft
72438,SANTANA,Non-Fatal,1.0,Reciprocating
72441,RISTINE,Non-Fatal,1.0,Reciprocating
72451,GAGE,Non-Fatal,1.0,Reciprocating
72452,James H Berard,Non-Fatal,1.0,Reciprocating
72454,GN-1 AIRCAMPER,Non-Fatal,1.0,Reciprocating
72455,SACKMAN,Non-Fatal,1.0,Reciprocating
72461,DESTINY,Non-Fatal,1.0,Reciprocating
72462,Ison Aircraft,Non-Fatal,1.0,Reciprocating
72465,Dykas,Non-Fatal,1.0,Reciprocating
72469,BOUGHNER,Non-Fatal,1.0,Reciprocating
72470,FECHTNER,Non-Fatal,1.0,Reciprocating
72478,"Schweizer, N36289",Non-Fatal,1.0,Turbo Prop
72480,BROWN MITCH,Non-Fatal,1.0,Reciprocating
72484,RIDGE LOWELL H,Non-Fatal,1.0,Reciprocating
72493,FANTASY AIR,Non-Fatal,1.0,Reciprocating
72498,MCLEOD ALAN,Fatal,1.0,Reciprocating
72502,AMERICAN EUROCOPTER LLC,Non-Fatal,1.0,Turbo Shaft
72509,Paulistinha  56-C1,Fatal,1.0,Reciprocating
72514,KOLB AIRCRAFT CO,Non-Fatal,1.0,Reciprocating
72521,THORP,Non-Fatal,1.0,Reciprocating
72537,GULFSTREAM,Fatal,1.0,Reciprocating
72538,DESTINY,Fatal,1.0,Reciprocating
72544,AMERICAN,Fatal,1.0,Reciprocating
72556,EBERLE JOHN S,Non-Fatal,1.0,Reciprocating
72561,Trick Trikes,Non-Fatal,1.0,Reciprocating
72567,TOP DOG,Fatal,1.0,Reciprocating
72569,LEE PAUL,Fatal,1.0,Reciprocating
72578,BRITISH AEROSPACE,Non-Fatal,2.0,Turbo Prop
72583,AIRCRAFT MFG & DEVELOPMENT CO,Fatal,1.0,Reciprocating
72584,MUDGE RAY,Non-Fatal,1.0,Reciprocating
72585,QUAD CITY ULTRALIGHTS,Fatal,1.0,Reciprocating
72590,BRITTEN NORMAN,Fatal,2.0,Reciprocating
72600,EASTON,Non-Fatal,1.0,Reciprocating
72611,JOHNSTON DOUGLAS S,Fatal,1.0,Reciprocating
72612,CROMAN CORPORATION,Non-Fatal,2.0,Turbo Shaft
72613,ARVOLD JORDON R,Non-Fatal,1.0,Reciprocating
72618,HANDY JAMES L,Non-Fatal,1.0,Reciprocating
72623,PIGGOTT JOHN H,Non-Fatal,1.0,Reciprocating
72631,TAYLORCRAFT AVIATION CORP.,Non-Fatal,1.0,Reciprocating
72632,SKYKITS USA CORP,Fatal,1.0,Reciprocating
72642,SCHNEIDER JOHN W,Non-Fatal,1.0,Reciprocating
72645,Lake John K,Non-Fatal,1.0,Reciprocating
72648,HANSEN,Non-Fatal,1.0,Reciprocating
72651,ELLEFSON,Non-Fatal,1.0,Reciprocating
72654,FAIRLEY GOOCH,Fatal,1.0,Reciprocating
72657,HOLLOMAN L B/HOLLOMAN E M,Non-Fatal,1.0,Reciprocating
72661,GOODYEAR,Fatal,1.0,Reciprocating
72662,KORRISON TOM,Non-Fatal,1.0,Reciprocating
72670,MOORE EDWARD R,Fatal,1.0,Reciprocating
72679,PITCAIRN,Non-Fatal,1.0,Reciprocating
72680,SCHOEPFLIN,Fatal,1.0,Reciprocating
72692,WIGGINS,Fatal,1.0,Reciprocating
72699,"HALDERMAN, FLOYD G.",Non-Fatal,1.0,Reciprocating
72705,HALL DON H,Fatal,1.0,Reciprocating
72707,SEYMOUR,Non-Fatal,1.0,Reciprocating
72708,Bruce M Barrett,Non-Fatal,1.0,Reciprocating
72716,FREDERICK,Non-Fatal,1.0,Reciprocating
72718,NORTH WING DESIGN,Fatal,1.0,Reciprocating
72720,REPUBLIC,Fatal,1.0,Reciprocating
72725,JDT MINI-MAX LLC,Fatal,1.0,Reciprocating
72728,MCHENRY GEORGE B JR,Fatal,1.0,Reciprocating
72735,BARNEY,Non-Fatal,1.0,Reciprocating
72739,BEECH,Non-Fatal,2.0,Turbo Fan
72746,BEECHCRAFT,Non-Fatal,1.0,Reciprocating
72753,THOMPSON,Non-Fatal,1.0,Reciprocating
72754,STEWART MW/STEWART JD,Non-Fatal,1.0,Reciprocating
72757,KUNDEL,Fatal,1.0,Reciprocating
72758,FLY HARD TRIKE INC,Non-Fatal,1.0,Reciprocating
72759,BEAGLE,Non-Fatal,2.0,Reciprocating
72762,CANADAIR LTD,Non-Fatal,2.0,Turbo Fan
72777,MCCLEERY,Non-Fatal,1.0,Reciprocating
72782,DAVIS MARK,Non-Fatal,1.0,Reciprocating
72793,BARCHE,Non-Fatal,1.0,Reciprocating
72796,JABIRU USA SPORT AIRCRAFT LLC,Non-Fatal,1.0,Reciprocating
72800,HENRIE RAYMOND,Non-Fatal,1.0,Reciprocating
72802,KEUTHAN,Fatal,1.0,Reciprocating
72804,QUEST AIRCRAFT COMPANY LLC,Non-Fatal,1.0,Turbo Prop
72811,TEAM INC,Non-Fatal,1.0,Reciprocating
72815,"Thrush Aircraft, Inc.",Non-Fatal,1.0,Turbo Prop
72819,SANDERS BEN G III,Non-Fatal,1.0,Reciprocating
72822,WOOD,Fatal,1.0,Reciprocating
72833,MOULTON HOWARD WELLS,Non-Fatal,1.0,Reciprocating
72836,BEAUDRY PHILLIP,Non-Fatal,1.0,Reciprocating
72839,MUELLER MICHAEL WALTER,Non-Fatal,1.0,Reciprocating
72849,MACE JUSTIN I,Non-Fatal,1.0,Reciprocating
72852,VELLINE'S,Non-Fatal,1.0,Reciprocating
72858,ARION,Non-Fatal,1.0,Reciprocating
72861,DIAMOND AIRCRAFT IND GMBH,Non-Fatal,2.0,Reciprocating
72866,HUGHES/HELICOPTER ASSOCS INC,Non-Fatal,1.0,Turbo Shaft
72873,AIRBORNE WINDSPORTS PTY LTD,Fatal,1.0,Reciprocating
72878,AEROPRO CZ,Fatal,1.0,Reciprocating
72879,GRUMMAN AIRCRAFT ENG CORP,Fatal,2.0,Reciprocating
72882,CASHMER PHILIP M,Non-Fatal,1.0,Reciprocating
72885,YOUNG ROBERT HERMAN,Non-Fatal,1.0,Reciprocating
72902,ALBRIGHT STAN,Non-Fatal,1.0,Reciprocating
72903,DANIELS ALAN L,Non-Fatal,1.0,Reciprocating
72909,"Swift Museum Foundation, Inc.",Fatal,1.0,Reciprocating
72911,QUICKSILVER MFG,Non-Fatal,1.0,Reciprocating
72912,HUNTHROP,Non-Fatal,1.0,Reciprocating
72933,BEHNE,Fatal,1.0,Reciprocating
72934,Quad City,Fatal,1.0,Reciprocating
72949,BATES,Non-Fatal,1.0,Reciprocating
72950,JEFFAIR,Non-Fatal,1.0,Reciprocating
72952,US LIGHT AIRCRAFT CORP,Fatal,1.0,Reciprocating
72965,Spackman,Non-Fatal,1.0,Reciprocating
72967,FAIRCHILD HELI-PORTER,Non-Fatal,1.0,Turbo Prop
72974,CENTRAL OHIO DRAGONFLY CLUB,Non-Fatal,1.0,Reciprocating
72987,NORTH WING,Fatal,1.0,Reciprocating
72989,WALLER CHARLES R,Non-Fatal,1.0,Reciprocating
72990,VANS AIRCRAFT INC,Non-Fatal,1.0,Reciprocating
72992,LAWSON RON,Non-Fatal,1.0,Reciprocating
73000,REIMS-CESSNA,Fatal,1.0,Reciprocating
73027,"JABIRU USA SPORT AIRCRAFT, LLC",Fatal,1.0,Reciprocating
73029,REDD TOM,Fatal,1.0,Reciprocating
73038,Brian P North,Fatal,1.0,Reciprocating
73042,Sater,Fatal,1.0,Reciprocating
73044,RADLEY VINCENT,Non-Fatal,1.0,Reciprocating
73046,SCOTT,Non-Fatal,1.0,Reciprocating
73054,MCDANIEL,Fatal,1.0,Reciprocating
73061,Taylorcraft,Fatal,1.0,Reciprocating
73062,LAWSON J/BOWIE R/SMITH M,Non-Fatal,1.0,Turbo Prop
73067,GREEN GARY E,Fatal,1.0,Reciprocating
73069,HANSEN DAVID DANIEL,Non-Fatal,1.0,Reciprocating
73070,AMERICAN CHAMPION AIRCRAFT,Non-Fatal,2.0,Reciprocating
73078,CASSUTT,Fatal,1.0,Reciprocating
73093,LSA AMERICA INC,Non-Fatal,1.0,Reciprocating
73105,LEARJET INC,Fatal,2.0,Turbo Jet
73106,MERRITT LESLIE R,Non-Fatal,1.0,Reciprocating
73107,MBB,Fatal,2.0,Turbo Shaft
73110,AUMAN JL,Non-Fatal,1.0,Reciprocating
73114,AEROVODOCHODY,Fatal,1.0,Turbo Jet
73119,POWERCHUTE,Non-Fatal,1.0,Reciprocating
73130,RUSSOM ROY G,Fatal,1.0,Reciprocating
73135,WRAGG GEORGE,Non-Fatal,1.0,Reciprocating
73145,CHARLAND,Fatal,1.0,Reciprocating
73151,Seguine,Non-Fatal,1.0,Reciprocating
73154,MCKAY GENE,Non-Fatal,1.0,Reciprocating
73160,MCKENZIE,Fatal,1.0,Turbo Prop
73165,ROBIDOUX LIONEL,Non-Fatal,1.0,Reciprocating
73171,KAUFMANN,Non-Fatal,1.0,Reciprocating
73183,BELL HELICOPTER,Fatal,1.0,Turbo Shaft
73190,Jeremiah Jackson,Non-Fatal,1.0,Reciprocating
73195,BOEING-VERTOL,Fatal,2.0,Turbo Shaft
73196,BREWER JAMES M,Non-Fatal,1.0,Reciprocating
73200,STRIBLING JAMES L,Non-Fatal,1.0,Reciprocating
73206,Heinz,Non-Fatal,1.0,Reciprocating
73209,BENTON FRED D,Fatal,1.0,Reciprocating
73238,GOETZ,Non-Fatal,1.0,Turbo Shaft
73246,HILLER-TRI-PLEX IND.INC.,Non-Fatal,1.0,Reciprocating
73247,MALLORY CHRISTOPHER L,Non-Fatal,1.0,Reciprocating
73250,SHOEMAKER JAMES B,Non-Fatal,1.0,Reciprocating
73254,WEBB,Non-Fatal,1.0,Reciprocating
73257,AMIRKHANIAN SHAHRAM CHARL,Non-Fatal,1.0,Reciprocating
73277,MCCOWAN STEVE A,Non-Fatal,1.0,Reciprocating
73291,NORTH AMERICAN-MEDORE,Non-Fatal,1.0,Reciprocating
73294,DRATBE SHMIEL AMIR,Non-Fatal,1.0,Reciprocating
73297,TRIAD INTERNATIONAL TECHNOLOGY,Non-Fatal,1.0,Reciprocating
73304,ST CLAIR,Non-Fatal,1.0,Reciprocating
73312,AVIONS FAIREY,Fatal,1.0,Reciprocating
73318,PZL MIELEC,Fatal,1.0,Turbo Prop
73323,TEMCO,Non-Fatal,2.0,Reciprocating
73341,BEECH,Fatal,2.0,Turbo Fan
73343,DOMBROSKI FRANK,Non-Fatal,1.0,Reciprocating
73344,TTX Air LLC,Non-Fatal,1.0,Turbo Prop
73353,BUCKER JUNGMANN,Non-Fatal,1.0,Reciprocating
73355,SUMMIT,Non-Fatal,1.0,Reciprocating
73358,BLUMER,Non-Fatal,1.0,Reciprocating
73364,ISAAK PAUL G,Non-Fatal,1.0,Reciprocating
73376,Hawker Beechcraft,Fatal,1.0,Turbo Fan
73377,FISHER MICHAEL E,Fatal,1.0,Reciprocating
73380,WESTON,Non-Fatal,1.0,Reciprocating
73383,BOMBARDIER,Non-Fatal,2.0,Turbo Prop
73393,NELSON LARRY L,Non-Fatal,1.0,Reciprocating
73399,781569 INC,Non-Fatal,1.0,Reciprocating
73401,RAINBOW AIRCRAFT PTY LTD,Non-Fatal,1.0,Reciprocating
73410,FRANKLIN,Non-Fatal,1.0,Reciprocating
73412,Embraer Aircraft,Fatal,2.0,Turbo Prop
73419,ALLEN,Non-Fatal,1.0,Reciprocating
73429,MCNULTY JOHN S,Non-Fatal,1.0,Reciprocating
73437,NEW PIPER AIRCRAFT INC,Non-Fatal,1.0,Reciprocating
73438,HAWKER BEECHCRAFT CORPORATION,Fatal,2.0,Turbo Fan
73444,Andre Kostrzewa,Non-Fatal,1.0,Reciprocating
73464,OWENS,Non-Fatal,1.0,Reciprocating
73481,ANDREWS,Fatal,1.0,Reciprocating
73518,Phoenix Air,Non-Fatal,1.0,Reciprocating
73529,MAXFLY INC/MCKAY WM,Non-Fatal,1.0,Reciprocating
73530,FRANKE RUSSELL J,Non-Fatal,1.0,Reciprocating
73534,ATKINS,Non-Fatal,1.0,Reciprocating
73535,HARRIS PIERCE,Non-Fatal,1.0,Reciprocating
73542,EDWARD W GRAY,Non-Fatal,1.0,Reciprocating
73546,SCHOONOVER JOHN D,Fatal,1.0,Reciprocating
73548,QUAD CITY ULTRALIGHT ACFT CORP,Non-Fatal,1.0,Reciprocating
73556,JANS ROBERT,Non-Fatal,1.0,Reciprocating
73557,WING HAROLD,Non-Fatal,1.0,Reciprocating
73561,POOLE ROBERT C JR,Non-Fatal,1.0,Reciprocating
73568,HOFFMAN,Fatal,1.0,Reciprocating
73576,ALON,Fatal,1.0,Reciprocating
73602,DEAN LESLIE N,Fatal,1.0,Reciprocating
73614,BOEING,Fatal,4.0,Turbo Jet
73615,DANIELS,Fatal,1.0,Reciprocating
73621,ALEXANDER DUANE A,Non-Fatal,1.0,Reciprocating
73624,MASON ROBERT,Non-Fatal,1.0,Reciprocating
73633,Adolphson,Non-Fatal,1.0,Reciprocating
73634,Hook,Non-Fatal,1.0,Reciprocating
73635,BAE,Non-Fatal,2.0,Turbo Fan
73637,"NEWGENT, BARRY",Fatal,1.0,Reciprocating
73648,LEARJET INC,Fatal,2.0,Turbo Fan
73649,ESKILDSEN,Fatal,1.0,Reciprocating
73656,HUGHES CHARLES R,Non-Fatal,1.0,Reciprocating
73661,SUD AVIATION,Non-Fatal,1.0,Turbo Shaft
73665,SCHWEIZER AIRCRAFT CORP,Fatal,1.0,Turbo Prop
73679,PHILLIPS,Non-Fatal,1.0,Reciprocating
73683,STEELE RALPH BRUCE,Non-Fatal,1.0,Reciprocating
73688,"ANKESTAR, BRADLEY D.",Non-Fatal,1.0,Reciprocating
73718,THOMAS DAVID W,Non-Fatal,1.0,Reciprocating
73720,PECK NORMAN O,Fatal,1.0,Reciprocating
73730,TOMISIN THOMAS J,Non-Fatal,1.0,Reciprocating
73734,ALLEN JAN A,Non-Fatal,1.0,Reciprocating
73753,FLIGHTSTAR SPORTPLANES,Non-Fatal,1.0,Reciprocating
73756,BOSWELL JOHN J,Non-Fatal,2.0,Reciprocating
73758,FLEMING ELDRIDGE E,Non-Fatal,1.0,Reciprocating
73760,Dressen,Non-Fatal,1.0,Reciprocating
73787,WILSON WILLIAM M,Fatal,2.0,Reciprocating
73791,Wampach,Non-Fatal,1.0,Reciprocating
73809,SHELDRICK JOHN H,Non-Fatal,1.0,Reciprocating
73823,Garland,Non-Fatal,1.0,Reciprocating
73824,WEATHERLY AVIATION CO INC,Fatal,1.0,Reciprocating
73826,HAWKER BEECHCRAFT,Fatal,2.0,Turbo Prop
73838,STIEGELMEYER JOHN R,Non-Fatal,1.0,Reciprocating
73841,ULTRAMAGIC SA,Non-Fatal,1.0,Unknown
73856,PIPISTREL,Fatal,1.0,Reciprocating
73857,YOUNGS WILLIAM D,Non-Fatal,1.0,Reciprocating
73861,ROGERS,Non-Fatal,1.0,Reciprocating
73862,GRAVES,Fatal,1.0,Reciprocating
73867,ROCKWELL,Non-Fatal,1.0,Turbo Prop
73875,AERO VODOCHODY,Non-Fatal,1.0,Turbo Jet
73881,HAGERTY,Non-Fatal,1.0,Reciprocating
73891,GARY W BETTIS,Non-Fatal,1.0,Reciprocating
73901,AEROTEK INC,Non-Fatal,1.0,Reciprocating
73907,IAI,Non-Fatal,2.0,Turbo Fan
73910,THOMSEN,Non-Fatal,1.0,Reciprocating
73917,BOEING-STEARMAN,Fatal,1.0,Reciprocating
73936,"Aviat Aircraft, Inc.",Non-Fatal,1.0,Reciprocating
73938,AVERY JACK H,Non-Fatal,1.0,Reciprocating
73943,Diamond Aicraft Industries Inc,Non-Fatal,1.0,Reciprocating
73949,Charles Peet,Non-Fatal,1.0,Reciprocating
73956,MARTIN CHARLES A,Non-Fatal,1.0,Reciprocating
73960,AYERS,Fatal,1.0,Reciprocating
73968,CHICCO,Non-Fatal,1.0,Reciprocating
73972,VINK ROBERT D,Non-Fatal,1.0,Reciprocating
73980,S.N.I.A.S.,Non-Fatal,1.0,Turbo Shaft
73984,DORMAN,Non-Fatal,1.0,Reciprocating
73988,BOSON,Non-Fatal,1.0,Reciprocating
73993,CURTISS WRIGHT,Non-Fatal,2.0,Reciprocating
74006,ROCKWELL,Non-Fatal,2.0,Turbo Fan
74010,JDT,Fatal,1.0,Reciprocating
74013,NORTH WING UUM INC.,Fatal,1.0,Reciprocating
74014,LUY WAYMAN,Non-Fatal,2.0,Reciprocating
74015,Flight Design GmbH,Non-Fatal,1.0,Reciprocating
74028,FLIGHT DESIGN GMBH,Fatal,1.0,Reciprocating
74041,QUARNOCCIO,Non-Fatal,1.0,Reciprocating
74045,UNIVERSAL STINSON,Non-Fatal,1.0,Reciprocating
74047,KINCAID WADE,Non-Fatal,1.0,Reciprocating
74051,THOMPSON BRUCE D,Fatal,1.0,Reciprocating
74060,JOHNSON GARRET W,Non-Fatal,1.0,Reciprocating
74063,UNIVAIR AIRCRAFT CORPORATION,Non-Fatal,1.0,Reciprocating
74065,GRUMMAN AIRCRAFT COR-SCHWEIZER,Non-Fatal,1.0,Reciprocating
74067,KRIPS JACK E JR,Non-Fatal,1.0,Reciprocating
74071,JIM BRADDOCK,Non-Fatal,1.0,Reciprocating
74086,MILLHOUSE D SCOTT,Non-Fatal,1.0,Reciprocating
74087,"COOPER, DAVID W.",Fatal,1.0,Reciprocating
74094,WESTER/STEIGER,Non-Fatal,1.0,Reciprocating
74098,DURFEE FRED,Non-Fatal,1.0,Reciprocating
74099,CESSNA AIRCRAFT COMPANY,Non-Fatal,2.0,Turbo Fan
74105,HOWARD M. SHEPHERD,Non-Fatal,1.0,Reciprocating
74115,CLAYTON GERALD H,Fatal,1.0,Reciprocating
74116,DAVID W OAKES,Non-Fatal,1.0,Reciprocating
74134,DEAN DAVID E,Non-Fatal,1.0,Reciprocating
74135,NASA AMES RESEARCH CENTER,Non-Fatal,1.0,Reciprocating
74138,WOODS RUFUS III,Fatal,1.0,Reciprocating
74139,PHELPS,Non-Fatal,1.0,Reciprocating
74148,FOLLAND AIRCRAFT CO LTD,Fatal,1.0,Turbo Jet
74153,CAMPBELL EARL S JR,Fatal,1.0,Reciprocating
74160,STRIBLING,Non-Fatal,1.0,Reciprocating
74183,SNYDER TODD W,Non-Fatal,1.0,Reciprocating
74198,VERSTEEG,Non-Fatal,1.0,Turbo Prop
74200,EMBRAER S A,Non-Fatal,2.0,Turbo Fan
74206,STETSON NORMAN B,Non-Fatal,1.0,Reciprocating
74213,COMMONWEALTH,Non-Fatal,1.0,Reciprocating
74220,GLOS WALLIS RICHARD JR,Non-Fatal,1.0,Reciprocating
74226,DOUGLAS BRIAN G,Non-Fatal,1.0,Reciprocating
74227,KERR MATTHEW,Non-Fatal,1.0,Reciprocating
74228,SUPER 18 LLC,Non-Fatal,1.0,Reciprocating
74233,BEECHCRAFT,Fatal,1.0,Reciprocating
74235,BRYANT FREDERICK M,Non-Fatal,1.0,Reciprocating
