,Make,Injury.Severity,Number.of.Engines,Engine.Type
2369,Eaa,Fatal(1),1.0,Reciprocating
2377,Von Berg,Non-Fatal,1.0,Reciprocating
2382,Menees,Non-Fatal,0.0,Unknown
2394,Cessna,Incident,2.0,Turbo Prop
2398,Engineering & Research,Non-Fatal,1.0,Reciprocating
2403,Dragon Fly,Non-Fatal,1.0,Reciprocating
2407,Champion,Fatal(2),1.0,Reciprocating
2424,Taylorcraft,Fatal(2),1.0,Reciprocating
2434,Auster,Non-Fatal,1.0,Reciprocating
2441,Air & Space,Non-Fatal,1.0,Reciprocating
2445,Quicksilver,Non-Fatal,1.0,Reciprocating
2454,Cassutt,Non-Fatal,1.0,Reciprocating
2456,Mcdonnell Douglas,Incident,3.0,Turbo Fan
2461,Mustang,Fatal(2),1.0,Reciprocating
2476,Taylorcraft,Fatal(1),1.0,Reciprocating
2482,Lawson Special,Non-Fatal,1.0,Reciprocating
2485,Cameron,Non-Fatal,0.0,Unknown
2493,Maule,Fatal(4),1.0,Reciprocating
2499,Air Tractor,Fatal(2),1.0,Turbo Prop
2501,Aerospatiale,Non-Fatal,2.0,Turbo Shaft
2504,Erco,Fatal(2),1.0,Reciprocating
2523,Fairchild Hiller,Non-Fatal,1.0,Turbo Shaft
2541,Bently,Fatal(1),1.0,Reciprocating
2558,Wayne Ison,Non-Fatal,1.0,Reciprocating
2580,Lindgren Evans,Non-Fatal,1.0,Reciprocating
2589,American Aviation,Non-Fatal,1.0,Reciprocating
2602,Falkenthal,Non-Fatal,1.0,Reciprocating
2617,Villine's,Non-Fatal,1.0,Reciprocating
2631,Consolidated Aero,Non-Fatal,1.0,Reciprocating
2639,American Aviation,Fatal(1),1.0,Reciprocating
2645,Davenport,Non-Fatal,1.0,Reciprocating
2654,Schempp-hirth,Non-Fatal,0.0,Unknown
2655,Bennet,Non-Fatal,1.0,Reciprocating
2678,Aero Commander,Non-Fatal,2.0,Turbo Prop
2714,Schweizer,Fatal(1),0.0,Unknown
2720,Vari-eze,Non-Fatal,1.0,Reciprocating
2727,North American,Fatal(2),1.0,Reciprocating
2729,Cassutt,Fatal(1),1.0,Reciprocating
2748,Long-ez,Non-Fatal,1.0,Reciprocating
2750,Fairchild/swearingen,Incident,2.0,Turbo Prop
2757,De Havilland,Fatal(2),1.0,Reciprocating
2785,Robertson,Fatal(4),1.0,Reciprocating
2789,Beech,Fatal(2),2.0,Turbo Prop
2796,Beechcraft,Non-Fatal,1.0,Reciprocating
2797,Flitecraft,Fatal(2),1.0,Reciprocating
2810,Foster,Fatal(1),1.0,Reciprocating
2813,Scorpion Too,Non-Fatal,1.0,Reciprocating
2819,Navy,Non-Fatal,1.0,Reciprocating
2821,Thurston,Non-Fatal,1.0,Reciprocating
2838,Bell,Fatal(1),2.0,Turbo Shaft
2860,Glasflugel,Non-Fatal,0.0,Unknown
2872,Tanke,Non-Fatal,1.0,Reciprocating
2874,Mustang,Fatal(1),1.0,Reciprocating
2879,Wainscott,Non-Fatal,1.0,Reciprocating
2882,Piper,Fatal(5),1.0,Reciprocating
2885,Aero Commander,Fatal(3),2.0,Reciprocating
2890,Ken Brock,Fatal(1),1.0,Reciprocating
2892,Saville Hummer,Non-Fatal,1.0,Reciprocating
2904,Fairchild,Non-Fatal,2.0,Reciprocating
2916,Bell,Incident,2.0,Turbo Shaft
2947,Cougar,Non-Fatal,1.0,Reciprocating
2948,Beech,Fatal(3),2.0,Reciprocating
2951,Eagle,Fatal(3),0.0,Unknown
2962,General Balloon,Non-Fatal,0.0,Unknown
2964,"Thunder Balloons, Ltd.",Fatal(4),0.0,Unknown
3001,Grumman American,Fatal(2),1.0,Reciprocating
3027,Raven Industries,Non-Fatal,0.0,Unknown
3042,Boeing Vertol,Fatal(2),2.0,Turbo Shaft
3049,Tomcat,Non-Fatal,1.0,Reciprocating
3057,Bowers Flybaby,Fatal(1),1.0,Reciprocating
3061,Volksplane,Non-Fatal,1.0,Reciprocating
3066,Beech,Fatal(14),2.0,Reciprocating
3077,Lockheed,Fatal(3),2.0,Reciprocating
3094,Piper,Fatal(8),2.0,Reciprocating
3097,E.l. Craig,Non-Fatal,1.0,Reciprocating
3102,Eipper-formance,Non-Fatal,1.0,Reciprocating
3106,C. Eff,Fatal(1),1.0,Reciprocating
3111,American,Fatal(1),1.0,Reciprocating
3129,J.a.mullan,Non-Fatal,1.0,Reciprocating
3130,De Havilland,Incident,1.0,Reciprocating
3134,Cessna,Fatal(4),2.0,Reciprocating
3135,Piper,Fatal(4),2.0,Reciprocating
3146,Ted Smith,Fatal(1),2.0,Reciprocating
3155,Flagg,Non-Fatal,1.0,Reciprocating
3156,Arctic Aircraft,Non-Fatal,1.0,Reciprocating
3167,Vanhoose/scorpio,Non-Fatal,1.0,Reciprocating
3168,"Johnson, Douglas L.",Fatal(1),1.0,Reciprocating
3170,Short Bros.,Incident,2.0,Turbo Prop
3177,Boeing,Non-Fatal,2.0,Turbo Fan
3201,Rolladen-schneider,Non-Fatal,0.0,Unknown
3202,Gates Learjet,Non-Fatal,2.0,Turbo Jet
3215,Froehlich,Non-Fatal,1.0,Reciprocating
3224,Temco,Non-Fatal,1.0,Reciprocating
3226,Grumman American,Fatal(1),2.0,Reciprocating
3228,Aerospatiale,Fatal(2),1.0,Turbo Shaft
3239,Convair,Incident,2.0,Reciprocating
3247,Boeing,Fatal(1),4.0,Turbo Fan
3264,Amateur Built,Non-Fatal,1.0,Reciprocating
3292,Cessna,Fatal(3),2.0,Turbo Fan
3296,Mcdonald Douglas,Non-Fatal,3.0,Turbo Fan
3309,Tifft-v,Non-Fatal,1.0,Reciprocating
3336,Scorpion,Fatal(2),1.0,Reciprocating
3338,Beagle Aircraft,Non-Fatal,2.0,Reciprocating
3340,Aerosport,Non-Fatal,1.0,Reciprocating
3347,Bellanca,Fatal(4),1.0,Reciprocating
3363,Rockwell International,Non-Fatal,2.0,Reciprocating
3374,Boeing,Non-Fatal,4.0,Turbo Fan
3391,Fokker,Non-Fatal,2.0,Turbo Prop
3392,Mcdonnell Douglas,Incident,2.0,Turbo Fan
3410,Cgs Aviation,Fatal(1),1.0,Reciprocating
3434,Swearingen,Fatal(2),2.0,Turbo Prop
3444,De Havilland,Fatal(8),1.0,Reciprocating
3445,Cessna,Incident,2.0,Turbo Jet
3454,Gates Lear Jet,Incident,2.0,Turbo Fan
3468,Rand,Fatal(2),1.0,Reciprocating
3470,Frank Turben,Non-Fatal,1.0,Reciprocating
3472,Hollman,Non-Fatal,1.0,Reciprocating
3500,Enstrom,Fatal(2),1.0,Reciprocating
3505,Burke-parker,Fatal(1),1.0,Reciprocating
