,Make,Aircraft.Category,Number.of.Engines,Engine.Type,Injury.Severity
269,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
270,Piper,Airplane,1.0,Reciprocating,Fatal(1)
271,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
272,Piper,Airplane,1.0,Reciprocating,Non-Fatal
273,Piper,Airplane,1.0,Reciprocating,Non-Fatal
274,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
275,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
276,Beech,Airplane,1.0,Reciprocating,Non-Fatal
277,Piper,Airplane,1.0,Reciprocating,Non-Fatal
278,Beech,Airplane,1.0,Reciprocating,Fatal(1)
279,Beech,Airplane,2.0,Turbo Prop,Incident
280,Cessna,Airplane,2.0,Reciprocating,Non-Fatal
281,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
282,Cessna,Airplane,2.0,Reciprocating,Non-Fatal
283,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
284,Cessna,Airplane,2.0,Reciprocating,Non-Fatal
285,Beech,Airplane,2.0,Reciprocating,Fatal(2)
286,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
287,Cessna,Airplane,2.0,Reciprocating,Non-Fatal
288,Cessna,Airplane,2.0,Reciprocating,Non-Fatal
290,Cessna,Airplane,2.0,Reciprocating,Fatal(2)
291,Grumman,Airplane,1.0,Reciprocating,Non-Fatal
292,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
293,Piper,Airplane,2.0,Reciprocating,Fatal(1)
294,De Havilland,Airplane,2.0,Turbo Prop,Incident
295,Piper,Airplane,1.0,Reciprocating,Non-Fatal
296,Howard Aircraft Corp.,Airplane,2.0,Reciprocating,Non-Fatal
297,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
298,Cessna,Airplane,1.0,Reciprocating,Fatal(4)
299,Piper,Airplane,2.0,Reciprocating,Fatal(1)
300,Rockwell,Airplane,1.0,Reciprocating,Fatal(2)
301,Beech,Airplane,1.0,Reciprocating,Fatal(4)
302,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
303,Cessna,Airplane,1.0,Reciprocating,Non-Fatal
